
Power station,# Units,Net Capacity (MWe),Country,Location,Refs
Almaraz,2,2,017, Spain,39°48′29″N 05°41′49″W, 
Angra,2,1,889[note 1], Brazil,23°00′30″S 44°28′26″W, 
Arkansas Nuclear One,2,1,839, United States,35°18′37″N 93°13′53″W, 
Ascó,2,1,992, Spain,41°12′00″N 00°34′10″E, 
Atucha,2,1,027, Argentina,33°58′3″S 59°12′18″W, 
Balakovo,4,3,800, Russia,52°05′28″N 47°57′19″E, 
Beaver Valley,2,1,738, United States,40°37′24″N 80°25′50″W, 
Belleville,2,2,620, France,47°30′35″N 02°52′30″E,[1] 
Beloyarsk Nuclear Power Station,4,1,597, Russia,56°50′30″N 61°19′21″E,
Blayais,4,3,640, France,45°15′21″N 00°41′35″W,[1]
Braidwood Nuclear Generating Station,2,2,330, United States,41°14′37″N 88°13′45″W, 
Brokdorf,1,1,410, Germany,53°51′03″N 09°20′41″E, 
Browns Ferry,3,3,300, United States,34°42′14″N 87°07′07″W, 
Bruce,8,6,232, Canada,44°19′31″N 81°35′58″W,[2]
Brunswick,2,1,858, United States,33°57′30″N 78°0′37″W, 
Bugey Nuclear Power Plant,4,3,580[note 2], France,45°19′31″N 05°16′15″E,[1]
Byron Nuclear Generating Station,2,2,300, United States,42°4′27″N 89°16′55″W, 
Callaway Plant,1,1,190, United States,38°45′42″N 91°46′48″W, 
Calvert Cliffs Nuclear Power Plant,2,1,735, United States,38°25′55″N 76°26′32″W, 
Catawba Nuclear Station,2,2,258, United States,35°3′6″N 81°4′12″W, 
Cattenom Nuclear Power Plant,4,5,200, France,49°24′57″N 06°13′05″E,[1]
Cernavodă Nuclear Power Plant,2,1,300, Romania,44°19′20″N 28°03′26″E, 
Chinon Nuclear Power Plant,4,3,620[note 3], France,47°13′50″N 00°10′14″E,[1]
Chin Shan Nuclear Power Plant,2,1,208, Taiwan,25°17′29″N 121°34′4″E,[3]
Chooz Nuclear Power Plant,2,3,000[note 4], France,50°05′24″N 04°47′22″E,[1]
Civaux Nuclear Power Plant,2,2,990, France,46°27′24″N 00°39′10″E,[1]
Clinton Nuclear Generating Station,1,1,043, United States,40°10′20″N 88°50′06″W, 
Cofrentes Nuclear Power Plant,1,1,064, Spain,39°13′00″N 01°03′00″W, 
Columbia Generating Station,1,1,131, United States,46°28′16″N 119°20′02″W, 
Comanche Peak Nuclear Generating Station,2,2,367, United States,32°17′54″N 97°47′06″W, 
Cruas Nuclear Power Plant,4,3,660, France,44°37′59″N 04°45′24″E,[1]
Dampierre Nuclear Power Plant,4,3,560, France,47°43′59″N 02°31′00″E,[1]
Darlington Nuclear Generating Station,4,3,512, Canada,43°52′22″N 78°43′11″W, 
Daya Bay Nuclear Power Plant,2,1,888, China,22°35′52″N 114°32′37″E, [4]
Diablo Canyon Power Plant,2,2,240, United States,35°12′39″N 120°51′22″W, 
Doel Nuclear Power Station,4,2,911, Belgium,51°19′29″N 04°15′31″E, 
Donald C. Cook Nuclear Generating Station,2,2,069, United States,41°58′31″N 86°33′57″W, 
Dresden Nuclear Power Plant,2,1,734[note 5], United States,41°23′23″N 88°16′5″W, 
Dukovany Nuclear Power Station,4,2,040, Czech Republic,49°05′06″N 16°08′56″E, 
Dungeness Nuclear Power Station,2,1,040[note 6], United Kingdom,50°54′50″N 00°57′50″E, 
Edwin Hatch Nuclear Power Station,2,1,759, United States,31°56′03″N 82°20′38″W, 
Enrico Fermi Nuclear Generating Station,1,1,122[note 7], United States,41°57′46″N 83°15′27″W, 
Emsland Nuclear Power Plant,1,1,329, Germany,52°28′27″N 07°19′04″E, 
