PowerStation,CapacityMWe,Units,Country
Almaraz,2017,2,Spain
Angra,1889,2,Brazil
Arkansas Nuclear One,1839,2,United States
Asc?,1992,2,Spain
Atucha,1027,2,Argentina
Balakovo,3800,4,Russia
Beaver Valley,1738,2,United States
Belleville,2620,2,France
Blayais,3640,4,France
Braidwood Nuclear Generating Station,2330,2,United States
Brokdorf,1410,1,Germany
Browns Ferry,3300,3,United States
Bruce,6232,8,Canada
Brunswick,1858,2,United States
Bugey Nuclear Power Plant,3580,4,France
Byron Nuclear Generating Station,2300,2,United States
Callaway Plant,1190,1,United States
Calvert Cliffs Nuclear Power Plant,1735,2,United States
Catawba Nuclear Station,2258,2,United States
Cattenom Nuclear Power Plant,5200,4,France
Cernavod? Nuclear Power Plant,1300,2,Romania
Chinon Nuclear Power Plant,3620,4,France
Chin Shan Nuclear Power Plant,1208,2,Taiwan
Chooz Nuclear Power Plant,3000,2,France
Civaux Nuclear Power Plant,2990,2,France
Clinton Nuclear Generating Station,1043,1,United States
Cofrentes Nuclear Power Plant,1064,1,Spain
Columbia Generating Station,1131,1,United States
Comanche Peak Nuclear Generating Station,2367,2,United States
Cruas Nuclear Power Plant,3660,4,France
Dampierre Nuclear Power Plant,3560,4,France
Darlington Nuclear Generating Station,3512,4,Canada
Daya Bay Nuclear Power Plant,1888,2,China
Diablo Canyon Power Plant,2240,2,United States
Doel Nuclear Power Station,2911,4,Belgium
Donald C. Cook Nuclear Generating Station,2069,2,United States
Dresden Nuclear Power Plant,1734,2,United States
Dukovany Nuclear Power Station,2040,4,Czech Republic
Dungeness Nuclear Power Station,1040,2,United Kingdom
Edwin Hatch Nuclear Power Station,1759,2,United States
Enrico Fermi Nuclear Generating Station,1122,1,United States
Emsland Nuclear Power Plant,1329,1,Germany
Fangjiashan Nuclear Power Plant,2000,2,China
Fessenheim Nuclear Power Plant,1760,2,France
Flamanville Nuclear Power Plant,2660,2,France
Forsmark Nuclear Power Plant,3138,3,Sweden
Fukushima Daini,4400,4,Japan
Fuqing Nuclear Power Plant,1000,1,China
Genkai Nuclear Power Plant,3312,4,Japan
Golfech Nuclear Power Plant,2620,2,France
Grafenrheinfeld Nuclear Power Plant,1275,1,Germany
Grand Gulf Nuclear Generating Station,1266,1,United States
Gravelines,5460,6,France
Grohnde Nuclear Power Plant,1360,1,Germany
Gundremmingen Nuclear Power Plant,1972,2,Germany
